page_id,access_count,classification
1747,139,hot
1748,140,hot
1749,149,hot
1750,154,hot
1751,151,hot
1752,143,hot
1753,155,hot
1754,153,hot
1755,148,hot
1756,169,hot
1757,156,hot
1758,183,hot
1759,150,hot
1760,157,hot
1761,160,hot
1762,173,hot
1763,162,hot
1764,138,hot
1765,145,hot
1766,151,hot
1767,154,hot
1768,157,hot
1769,164,hot
1770,142,hot
1771,146,hot
1772,158,hot
1773,167,hot
1774,141,hot
1775,154,hot
1776,159,hot
1777,152,hot
1778,187,hot
1779,147,hot
1780,149,hot
1781,138,hot
1782,158,hot
1783,152,hot
1784,152,hot
1785,142,hot
1786,149,hot
1787,149,hot
1788,152,hot
1789,157,hot
1790,165,hot
1791,138,hot
1792,151,hot
1793,149,hot
1794,133,hot
1795,144,hot
1796,144,hot
1797,179,hot
1798,151,hot
1799,155,hot
1800,176,hot
1801,163,hot
1802,154,hot
1803,173,hot
1804,158,hot
1805,144,hot
1806,158,hot
1807,157,hot
1808,158,hot
1809,175,hot
1810,166,hot
1811,163,hot
1812,134,hot
1813,161,hot
1814,158,hot
1815,163,hot
1816,159,hot
1817,164,hot
1818,128,hot
1819,160,hot
1820,165,hot
1821,163,hot
1822,169,hot
1823,161,hot
1824,178,hot
1825,164,hot
1826,138,hot
1827,153,hot
1828,157,hot
1829,167,hot
1830,145,hot
1831,151,hot
1832,160,hot
1833,177,hot
1834,150,hot
1835,140,hot
1836,162,hot
1837,158,hot
1838,158,hot
1839,197,hot
1840,167,hot
1841,125,hot
1842,159,hot
1843,149,hot
1844,162,hot
1845,144,hot
1846,188,hot
1847,125,hot
1848,159,hot
1849,152,hot
1850,164,hot
1851,160,hot
1852,142,hot
1853,164,hot
1854,149,hot
1855,164,hot
1856,168,hot
1857,151,hot
1858,156,hot
1859,179,hot
1860,148,hot
1861,181,hot
1862,153,hot
1863,145,hot
1864,153,hot
1865,148,hot
